ref_hash,obj
1000169251625791246_sc,248661.28
1000169251625791246_st,67709.06
1000395625957344683_sc,134311.73
1000395625957344683_st,70564.97
1003027494996471685_sc,244173.9
1003027494996471685_st,130354.91
1006670001679961544_sc,134311.73
1006670001679961544_st,129345.08
1007573308966476713_sc,134311.73
1007573308966476713_st,80372.93
1010070503877148763_sc,254856.45
1010070503877148763_st,231329.06
1010265377387765028_sc,134311.73
1010265377387765028_st,119847.75
1010531372912327058_sc,134311.73
1010531372912327058_st,84792.87
1011610998357271358_sc,134311.73
1011610998357271358_st,47095.465
1013543838965040946_sc,257675.77
1013543838965040946_st,90000.88
1014428234021750342_sc,134311.73
1014428234021750342_st,230569.39
101763096421653092_sc,252563.52
101763096421653092_st,154488.89
1017668882534236751_sc,134311.73
1017668882534236751_st,130576.11
1017958004932387739_sc,254936.53
1017958004932387739_st,204920.05
1018126962792619181_sc,253538.06
1018126962792619181_st,220559.34
1021582875881379650_sc,256788.2
1021582875881379650_st,241408.58
1022093956983448460_sc,253026.08
1022093956983448460_st,234829.12
1022155574388897311_sc,134311.73
1022155574388897311_st,127978.266
1024792555410741306_sc,247011.66
1024792555410741306_st,235067.39
1026825193119998092_sc,134311.73
1026825193119998092_st,180131.45
1030603044158081433_sc,134311.73
1030603044158081433_st,6135.6836
1030865855693267844_sc,134311.73
1030865855693267844_st,119847.75
1032938399279723623_sc,254618.62
1032938399279723623_st,42171.793
1036919443887988520_sc,254225.3
1036919443887988520_st,162882.75
1037575899869926_sc,254069.86
1037575899869926_st,81554.96
1042912100594917197_sc,253424.28
1042912100594917197_st,176105.14
104412862089502190_sc,134311.73
104412862089502190_st,119847.75
1048460865075142817_sc,247606.17
1048460865075142817_st,154912.14
1048487908287530052_sc,134311.73
1048487908287530052_st,21060.102000000003
1048782984015604883_sc,243053.89
1048782984015604883_st,225869.7
1052346027668414186_sc,253519.08
1052346027668414186_st,147393.78
1052782935269141271_sc,257675.77
1052782935269141271_st,119847.75
105337483767914646_sc,245495.9
105337483767914646_st,64437.258
1053399148291039201_sc,134311.73
1053399148291039201_st,71338.695
1054881396892383323_sc,134311.73
1054881396892383323_st,57571.18
1055760083915480820_sc,134311.73
1055760083915480820_st,181050.05
1056749944537419493_sc,252105.89
1056749944537419493_st,103581.79
1058525390691423513_sc,134311.73
1058525390691423513_st,29873.232000000004
1062274422372114651_sc,134311.73
1062274422372114651_st,119847.75
1069066119870904979_sc,134311.73
1069066119870904979_st,176187.33
1070673984959261173_sc,248709.88
1070673984959261173_st,152706.67
1071701264087131067_sc,134311.73
1071701264087131067_st,35494.797
1076086792264173440_sc,257675.77
1076086792264173440_st,37552.95
1078063581723896055_sc,256107.38
1078063581723896055_st,85971.65
1078643268919016184_sc,254216.47
1078643268919016184_st,232836.7
1080074517463091765_sc,252544.53
1080074517463091765_st,102358.38
108091152851614035_sc,134311.73
108091152851614035_st,144828.36
1082062519835461489_sc,134311.73
1082062519835461489_st,45759.655999999995
1083324672128707147_sc,246111.2
1083324672128707147_st,71859.445
1084673948755476350_sc,244947.14
1084673948755476350_st,65539.6
108675559753870541_sc,134311.73
108675559753870541_st,92246.37
1090348823218637154_sc,244416.67
1090348823218637154_st,199529.44
1091213713572176533_sc,134311.73
1091213713572176533_st,119847.75
1092578651697005865_sc,134311.73
1092578651697005865_st,119847.75
109389620877102250_sc,254789.52
109389620877102250_st,33709.086
1095130837096278807_sc,257675.77
1095130837096278807_st,127031.68
1097690588650818183_sc,252745.88
1097690588650818183_st,78058.29
1098333517628887771_sc,254450.28
1098333517628887771_st,228760.83
1098698655660153317_sc,246888.1
1098698655660153317_st,11632.73
1100694657931150169_sc,253538.06
1100694657931150169_st,86579.04
1102680423242413676_sc,254064.27
1102680423242413676_st,28536.037
1106971792117053344_sc,246321.3
1106971792117053344_st,236249.22
1108571703275362862_sc,244704.38
1108571703275362862_st,118986.63
1109716870153151001_sc,245544.3
1109716870153151001_st,213488.75
1110652558277138855_sc,254618.62
1110652558277138855_st,92420.11
1111065470587874091_sc,246321.3
1111065470587874091_st,196012.33
111177788438165194_sc,254936.53
111177788438165194_st,109464.41
1113913537041480485_sc,253519.08
1113913537041480485_st,174271.06
1114026657194419748_sc,245634.06
1114026657194419748_st,60894.566
1114323564105303141_sc,253538.06
1114323564105303141_st,16756.441000000003
1114508230319864946_sc,253538.06
1114508230319864946_st,59104.164000000004
1115138041376043539_sc,254856.45
1115138041376043539_st,90806.35
1117590669569321964_sc,256107.38
1117590669569321964_st,104970.375
1117811498061299916_sc,134311.73
1117811498061299916_st,136864.62
1118296407046663101_sc,253026.08
1118296407046663101_st,178293.52
1119031235556320896_sc,254005.86
1119031235556320896_st,41751.695
11222455493472018_sc,134311.73
11222455493472018_st,178683.33
1123499146680162742_sc,253538.06
1123499146680162742_st,173539.45
1126070781577415060_sc,253592.62
1126070781577415060_st,40244.164
1126877271043713659_sc,134311.73
1126877271043713659_st,119847.75
1128648311587971120_sc,134311.73
1128648311587971120_st,158264.12
1128814228344083814_sc,134311.73
1128814228344083814_st,113435.125
1129766292147277557_sc,253674.52
1129766292147277557_st,146333.83
1131546864431701911_sc,134311.73
1131546864431701911_st,37855.98
1136031752303953778_sc,134311.73
1136031752303953778_st,184975.2
1136471390576544145_sc,134311.73
1136471390576544145_st,186968.67
1137626983589975828_sc,253821.5
1137626983589975828_st,150695.69
1145009605155104884_sc,134311.73
1145009605155104884_st,63764.01
1149958127364605785_sc,246570.3
1149958127364605785_st,69700.03
1151346651469575337_sc,255728.72
1151346651469575337_st,157749.12
1153540947733791830_sc,134311.73
1153540947733791830_st,180248.61
1156275031468463136_sc,134311.73
1156275031468463136_st,119847.75
1156694545460335017_sc,134311.73
1156694545460335017_st,33437.76
115885348859837276_sc,134311.73
115885348859837276_st,51597.12
1159207938497285892_sc,256107.38
1159207938497285892_st,138559.27
1160971248791325717_sc,245838.06
1160971248791325717_st,58442.203
1161843904632575594_sc,134311.73
1161843904632575594_st,119847.75
1167633864786053186_sc,134311.73
1167633864786053186_st,163716.55
1168157541031578455_sc,134311.73
1168157541031578455_st,71555.86
1170926351229275807_sc,134311.73
1170926351229275807_st,179755.56
1175385689997483703_sc,134311.73
1175385689997483703_st,189947.66
1175791667336060650_sc,255656.4
1175791667336060650_st,236296.64
1176502947759067386_sc,248709.88
1176502947759067386_st,236508.28
1176818370378839086_sc,134311.73
1176818370378839086_st,87189.43
1179211379479512284_sc,255728.72
1179211379479512284_st,179554.83
1186516249413150404_sc,255126.5
1186516249413150404_st,233423.84
1187615102176685882_sc,231198.3
1187615102176685882_st,157361.53
1187995611677437206_sc,134311.73
1187995611677437206_st,35005.57
1190424870217036395_sc,253592.62
1190424870217036395_st,59409.125
1191960282997642823_sc,134311.73
1191960282997642823_st,119847.75
1194162776830151855_sc,256107.38
1194162776830151855_st,50723.492
1199641757841499367_sc,247011.66
1199641757841499367_st,76042.984
1200899806989014770_sc,244416.67
1200899806989014770_st,233518.22
1204574205636847942_sc,254837.47
1204574205636847942_st,43452.28
1205014055416064598_sc,134311.73
1205014055416064598_st,102055.336
1206234638304930993_sc,134311.73
1206234638304930993_st,119847.75
1207737003178589247_sc,244173.9
1207737003178589247_st,179281.5
1209201922567589129_sc,134311.73
1209201922567589129_st,173228.69
1209266135065312559_sc,134311.73
1209266135065312559_st,71394.73
1209684448831341752_sc,253666.06
1209684448831341752_st,57787.473
1216484723925399897_sc,253519.08
1216484723925399897_st,171088.2
1216551715294982491_sc,253592.62
1216551715294982491_st,114692.445
122031620643150233_sc,241816.75
122031620643150233_st,136286.22
1225293060838887434_sc,255198.16
1225293060838887434_st,161943.97
1227457012435462438_sc,255132.83
1227457012435462438_st,119847.75
1229609562842818924_sc,134311.73
1229609562842818924_st,163510.52
1231413972006880331_sc,245410.28
1231413972006880331_st,227319.97
1232605060713570544_sc,134311.73
