ref_hash,obj
1000169251625791246_sc,247429.984375
1000169251625791246_st,135678.125
1000395625957344683_sc,134151.640625
1000395625957344683_st,139248.578125
1003027494996471685_sc,243818.859375
1003027494996471685_st,150193.984375
1006670001679961544_sc,133127.5
1006670001679961544_st,158663.015625
1007573308966476713_sc,134696.953125
1007573308966476713_st,144365.21875
1010070503877148763_sc,255298.015625
1010070503877148763_st,235868.984375
1010265377387765028_sc,135887.109375
1010265377387765028_st,143549.609375
1010531372912327058_sc,134696.953125
1010531372912327058_st,146371.8125
1011610998357271358_sc,134151.640625
1011610998357271358_st,130436.0625
1013543838965040946_sc,257125.765625
1013543838965040946_st,158824.75
1014428234021750342_sc,135667.5
1014428234021750342_st,231287.796875
101763096421653092_sc,252811.609375
101763096421653092_st,184827.296875
1017668882534236751_sc,133720.859375
1017668882534236751_st,178797.890625
1017958004932387739_sc,253655.609375
1017958004932387739_st,220331.34375
1018126962792619181_sc,253812.109375
1018126962792619181_st,232380.578125
1021582875881379650_sc,255863.484375
1021582875881379650_st,242643.09375
1022093956983448460_sc,254194.84375
1022093956983448460_st,241378.390625
1022155574388897311_sc,134151.640625
1022155574388897311_st,164563.21875
1024792555410741306_sc,247253.125
1024792555410741306_st,236514.765625
1026825193119998092_sc,134696.953125
1026825193119998092_st,196683.375
1030603044158081433_sc,134151.640625
1030603044158081433_st,114215.4375
1030865855693267844_sc,135887.109375
1030865855693267844_st,143549.609375
1032938399279723623_sc,252856.90625
1032938399279723623_st,135721.84375
1036919443887988520_sc,253487.734375
1036919443887988520_st,178728.859375
1037575899869926_sc,252183.53125
1037575899869926_st,138895.921875
1042912100594917197_sc,253322.859375
1042912100594917197_st,198808.296875
104412862089502190_sc,135887.109375
104412862089502190_st,143549.609375
1048460865075142817_sc,246996.859375
1048460865075142817_st,152717.203125
1048487908287530052_sc,134151.640625
1048487908287530052_st,129902.820312
1048782984015604883_sc,244140.0625
1048782984015604883_st,230630.359375
1052346027668414186_sc,252940.125
1052346027668414186_st,183703.40625
1052782935269141271_sc,257446.96875
1052782935269141271_st,142822.109375
105337483767914646_sc,246166.4375
105337483767914646_st,135382.4375
1053399148291039201_sc,136111.21875
1053399148291039201_st,145931.921875
1054881396892383323_sc,134151.640625
1054881396892383323_st,131407.71875
1055760083915480820_sc,135667.5
1055760083915480820_st,200436.765625
1056749944537419493_sc,252429.859375
1056749944537419493_st,156834.09375
1058525390691423513_sc,134151.640625
1058525390691423513_st,122588.03125
1062274422372114651_sc,135887.109375
1062274422372114651_st,143549.609375
1069066119870904979_sc,134234.859375
1069066119870904979_st,191763.78125
1070673984959261173_sc,248574.546875
1070673984959261173_st,183275.4375
1071701264087131067_sc,134151.640625
1071701264087131067_st,132468.5
1076086792264173440_sc,257125.765625
1076086792264173440_st,131075.953125
1078063581723896055_sc,256192.8125
1078063581723896055_st,151324.203125
1078643268919016184_sc,255298.015625
1078643268919016184_st,240164.765625
1080074517463091765_sc,252940.125
1080074517463091765_st,146043.171875
108091152851614035_sc,135667.5
108091152851614035_st,174808.859375
1082062519835461489_sc,134151.640625
1082062519835461489_st,129547.40625
1083324672128707147_sc,241987.578125
1083324672128707147_st,136306.890625
1084673948755476350_sc,245844.46875
1084673948755476350_st,139251.671875
108675559753870541_sc,133478.265625
108675559753870541_st,141930.40625
1090348823218637154_sc,243902.078125
1090348823218637154_st,195054.3125
1091213713572176533_sc,135887.109375
1091213713572176533_st,143549.609375
1092578651697005865_sc,135887.109375
1092578651697005865_st,143549.609375
109389620877102250_sc,253487.421875
109389620877102250_st,120198.296875
1095130837096278807_sc,257671.078125
1095130837096278807_st,169723.03125
1097690588650818183_sc,252975.171875
1097690588650818183_st,139966.09375
1098333517628887771_sc,253739.90625
1098333517628887771_st,243293.203125
1098698655660153317_sc,247166.875
1098698655660153317_st,122869.601562
1100694657931150169_sc,253402.21875
1100694657931150169_st,147536.359375
1102680423242413676_sc,254426.546875
1102680423242413676_st,115689.546875
1106971792117053344_sc,245725.578125
1106971792117053344_st,239445.328125
1108571703275362862_sc,245713.65625
1108571703275362862_st,159478.421875
1109716870153151001_sc,244909.6875
1109716870153151001_st,215666.28125
1110652558277138855_sc,252856.90625
1110652558277138855_st,124642.125
1111065470587874091_sc,245487.59375
1111065470587874091_st,197851.703125
111177788438165194_sc,254343.265625
111177788438165194_st,164284.921875
1113913537041480485_sc,252975.171875
1113913537041480485_st,193706.171875
1114026657194419748_sc,244375.78125
1114026657194419748_st,134712.40625
1114323564105303141_sc,251294.609375
1114323564105303141_st,123779.695312
1114508230319864946_sc,252856.90625
1114508230319864946_st,135369.203125
1115138041376043539_sc,254342.8125
1115138041376043539_st,143691.234375
1117590669569321964_sc,256192.8125
1117590669569321964_st,151523.65625
